Gauge[mm],Volume[m3]
709.0,1114.675
710.0,1116.281
711.0,1117.888
712.0,1119.494
713.0,1121.101
714.0,1122.708
715.0,1124.315
716.0,1125.921
717.0,1127.528
718.0,1129.135
719.0,1130.741
720.0,1132.348
721.0,1133.956
722.0,1135.563
723.0,1137.171
724.0,1138.778
725.0,1140.386
726.0,1141.994
727.0,1143.601
728.0,1145.209
729.0,1146.816
730.0,1148.424
731.0,1150.033
732.0,1151.641
733.0,1153.25
734.0,1154.858
735.0,1156.467
736.0,1158.076
737.0,1159.684
738.0,1161.293
739.0,1162.901
740.0,1164.51
741.0,1166.12
742.0,1167.729
743.0,1169.339
744.0,1170.948
745.0,1172.558
746.0,1174.167
747.0,1175.777
748.0,1177.386
749.0,1178.996
750.0,1180.605
751.0,1182.216
752.0,1183.826
753.0,1185.437
754.0,1187.047
755.0,1188.658
756.0,1190.268
757.0,1191.879
758.0,1193.489
759.0,1195.1
760.0,1196.71
761.0,1198.321
762.0,1199.933
763.0,1201.544
764.0,1203.156
765.0,1204.767
766.0,1206.378
767.0,1207.99
768.0,1209.601
769.0,1211.213
770.0,1212.824
771.0,1214.436
772.0,1216.049
773.0,1217.661
774.0,1219.274
775.0,1220.886
776.0,1222.498
777.0,1224.111
778.0,1225.723
779.0,1227.336
780.0,1228.948
781.0,1230.561
782.0,1232.175
783.0,1233.788
784.0,1235.402
785.0,1237.015
786.0,1238.628
787.0,1240.242
788.0,1241.855
789.0,1243.469
790.0,1245.082
791.0,1246.696
792.0,1248.311
793.0,1249.925
794.0,1251.539
795.0,1253.154
796.0,1254.768
797.0,1256.382
798.0,1257.996
799.0,1259.611
800.0,1261.225
801.0,1262.84
802.0,1264.456
803.0,1266.071
804.0,1267.686
805.0,1269.302
806.0,1270.917
807.0,1272.532
808.0,1274.147
809.0,1275.763
810.0,1277.378
811.0,1278.994
812.0,1280.61
813.0,1282.227
814.0,1283.843
815.0,1285.459
816.0,1287.075
817.0,1288.691
818.0,1290.308
819.0,1291.924
820.0,1293.54
821.0,1295.157
822.0,1296.774
823.0,1298.392
824.0,1300.009
825.0,1301.626
826.0,1303.243
827.0,1304.86
828.0,1306.478
829.0,1308.095
830.0,1309.712
831.0,1311.33
832.0,1312.948
833.0,1314.567
834.0,1316.185
835.0,1317.803
836.0,1319.421
837.0,1321.039
838.0,1322.658
839.0,1324.276
840.0,1325.894
841.0,1327.513
842.0,1329.132
843.0,1330.751
844.0,1332.37
845.0,1333.99
846.0,1335.609
847.0,1337.228
848.0,1338.847
849.0,1340.466
850.0,1342.085
851.0,1343.705
852.0,1345.325
853.0,1346.945
854.0,1348.565
855.0,1350.185
856.0,1351.805
857.0,1353.425
858.0,1355.045
859.0,1356.665
860.0,1358.285
861.0,1359.906
862.0,1361.527
863.0,1363.148
864.0,1364.769
865.0,1366.39
866.0,1368.011
867.0,1369.632
868.0,1371.253
869.0,1372.874
870.0,1374.495
871.0,1376.117
872.0,1377.739
873.0,1379.361
874.0,1380.983
875.0,1382.605
876.0,1384.227
877.0,1385.849
878.0,1387.471
879.0,1389.093
880.0,1390.715
881.0,1392.338
882.0,1393.961
883.0,1395.584
884.0,1397.207
885.0,1398.83
886.0,1400.452
887.0,1402.075
888.0,1403.698
889.0,1405.321
890.0,1406.944
891.0,1408.568
892.0,1410.192
893.0,1411.816
894.0,1413.44
895.0,1415.064
896.0,1416.687
897.0,1418.311
898.0,1419.935
899.0,1421.559
900.0,1423.183
901.0,1424.808
902.0,1426.433
903.0,1428.057
904.0,1429.682
905.0,1431.307
906.0,1432.932
907.0,1434.557
908.0,1436.181
909.0,1437.806
910.0,1439.431
911.0,1441.057
912.0,1442.683
913.0,1444.308
914.0,1445.934
915.0,1447.56
916.0,1449.186
917.0,1450.812
918.0,1452.437
919.0,1454.063
920.0,1455.689
921.0,1457.316
922.0,1458.943
923.0,1460.569
924.0,1462.196
925.0,1463.823
926.0,1465.45
927.0,1467.077
928.0,1468.703
929.0,1470.33
930.0,1471.957
931.0,1473.585
932.0,1475.212
933.0,1476.84
934.0,1478.468
935.0,1480.096
936.0,1481.723
937.0,1483.351
938.0,1484.979
939.0,1486.606
940.0,1488.234
941.0,1489.863
942.0,1491.491
943.0,1493.12
944.0,1494.748
945.0,1496.377
946.0,1498.006
947.0,1499.634
948.0,1501.263
949.0,1502.891
950.0,1504.52
951.0,1506.15
952.0,1507.779
953.0,1509.409
954.0,1511.038
955.0,1512.668
956.0,1514.298
957.0,1515.927
958.0,1517.557
959.0,1519.186
960.0,1520.816
961.0,1522.447
962.0,1524.078
963.0,1525.708
964.0,1527.339
965.0,1528.97
966.0,1530.601
967.0,1532.232
968.0,1533.862
969.0,1535.493
970.0,1537.124
971.0,1538.756
972.0,1540.387
973.0,1542.019
974.0,1543.651
975.0,1545.283
976.0,1546.914
977.0,1548.546
978.0,1550.178
979.0,1551.809
980.0,1553.441
981.0,1555.074
982.0,1556.706
983.0,1558.339
984.0,1559.972
985.0,1561.605
986.0,1563.237
987.0,1564.87
988.0,1566.503
989.0,1568.135
990.0,1569.768
991.0,1571.402
992.0,1573.035
993.0,1574.669
994.0,1576.302
995.0,1577.936
996.0,1579.57
997.0,1581.203
998.0,1582.837
999.0,1584.47
1000.0,1586.104
1001.0,1587.739
1002.0,1589.373
1003.0,1591.008
1004.0,1592.642
1005.0,1594.277
1006.0,1595.912
1007.0,1597.546
1008.0,1599.181
1009.0,1600.815
1010.0,1602.45
1011.0,1604.086
1012.0,1605.721
1013.0,1607.357
1014.0,1608.992
1015.0,1610.628
1016.0,1612.264
1017.0,1613.899
1018.0,1615.535
1019.0,1617.17
1020.0,1618.806
1021.0,1620.443
1022.0,1622.079
1023.0,1623.716
1024.0,1625.352
1025.0,1626.989
1026.0,1628.625
1027.0,1630.262
1028.0,1631.898
1029.0,1633.535
1030.0,1635.171
1031.0,1636.808
1032.0,1638.446
1033.0,1640.083
1034.0,1641.721
1035.0,1643.358
1036.0,1644.995
1037.0,1646.633
1038.0,1648.27
1039.0,1649.908
1040.0,1651.545
1041.0,1653.183
1042.0,1654.822
1043.0,1656.46
1044.0,1658.099
1045.0,1659.737
1046.0,1661.375
1047.0,1663.014
1048.0,1664.652
1049.0,1666.291
1050.0,1667.929
1051.0,1669.568
1052.0,1671.208
1053.0,1672.847
1054.0,1674.487
1055.0,1676.126
1056.0,1677.765
1057.0,1679.405
1058.0,1681.044
1059.0,1682.684
1060.0,1684.323
1061.0,1685.963
1062.0,1687.604
1063.0,1689.244
1064.0,1690.884
1065.0,1692.525
1066.0,1694.165
1067.0,1695.805
1068.0,1697.445
1069.0,1699.086
1070.0,1700.726
1071.0,1702.367
1072.0,1704.008
1073.0,1705.65
1074.0,1707.291
1075.0,1708.932
1076.0,1710.573
1077.0,1712.214
1078.0,1713.856
1079.0,1715.497
1080.0,1717.138
1081.0,1718.78
1082.0,1720.422
1083.0,1722.065
1084.0,1723.707
1085.0,1725.349
1086.0,1726.991
1087.0,1728.633
1088.0,1730.276
1089.0,1731.918
1090.0,1733.56
1091.0,1735.203
1092.0,1736.846
1093.0,1738.49
1094.0,1740.133
1095.0,1741.776
1096.0,1743.419
1097.0,1745.062
1098.0,1746.706
1099.0,1748.349
1100.0,1749.992
1101.0,1751.636
1102.0,1753.28
1103.0,1754.925
1104.0,1756.569
1105.0,1758.213
1106.0,1759.857
1107.0,1761.501
1108.0,1763.146
1109.0,1764.79
1110.0,1766.434
1111.0,1768.079
1112.0,1769.724
1113.0,1771.369
1114.0,1773.014
1115.0,1774.66
1116.0,1776.305
1117.0,1777.95
1118.0,1779.595
1119.0,1781.24
1120.0,1782.885
1121.0,1784.531
1122.0,1786.177
1123.0,1787.823
1124.0,1789.469
1125.0,1791.115
1126.0,1792.761
1127.0,1794.407
1128.0,1796.053
1129.0,1797.699
1130.0,1799.345
1131.0,1800.992
1132.0,1802.639
1133.0,1804.286
1134.0,1805.933
1135.0,1807.58
1136.0,1809.227
1137.0,1810.874
1138.0,1812.521
1139.0,1814.168
1140.0,1815.815
1141.0,1817.463
1142.0,1819.111
1143.0,1820.759
1144.0,1822.407
1145.0,1824.055
1146.0,1825.703
1147.0,1827.351
1148.0,1828.999
1149.0,1830.647
1150.0,1832.295
1151.0,1833.944
1152.0,1835.593
1153.0,1837.242
1154.0,1838.891
1155.0,1840.54
1156.0,1842.188
1157.0,1843.837
1158.0,1845.486
1159.0,1847.135
1160.0,1848.784
1161.0,1850.434
1162.0,1852.084
1163.0,1853.734
1164.0,1855.384
1165.0,1857.034
1166.0,1858.683
1167.0,1860.333
1168.0,1861.983
1169.0,1863.633
1170.0,1865.283
1171.0,1866.934
1172.0,1868.585
1173.0,1870.235
1174.0,1871.886
1175.0,1873.537
1176.0,1875.188
1177.0,1876.839
1178.0,1878.489
1179.0,1880.14
1180.0,1881.791
1181.0,1883.443
1182.0,1885.095
1183.0,1886.746
1184.0,1888.398
1185.0,1890.05
1186.0,1891.702
1187.0,1893.354
1188.0,1895.005
1189.0,1896.657
1190.0,1898.309
1191.0,1899.962
1192.0,1901.614
1193.0,1903.267
1194.0,1904.92
1195.0,1906.573
1196.0,1908.225
1197.0,1909.878
1198.0,1911.531
1199.0,1913.183
1200.0,1914.836
1201.0,1916.49
1202.0,1918.143
1203.0,1919.797
1204.0,1921.451
1205.0,1923.105
1206.0,1924.758
1207.0,1926.412
1208.0,1928.066
1209.0,1929.719
1210.0,1931.373
1211.0,1933.028
1212.0,1934.682
1213.0,1936.337
1214.0,1937.992
1215.0,1939.647
1216.0,1941.301
1217.0,1942.956
1218.0,1944.611
1219.0,1946.265
1220.0,1947.92
1221.0,1949.576
1222.0,1951.231
1223.0,1952.887
1224.0,1954.542
1225.0,1956.198
1226.0,1957.854
1227.0,1959.509
1228.0,1961.165
1229.0,1962.82
1230.0,1964.476
1231.0,1966.133
1232.0,1967.789
1233.0,1969.446
1234.0,1971.102
1235.0,1972.759
1236.0,1974.415
1237.0,1976.072
1238.0,1977.728
1239.0,1979.385
1240.0,1981.041
1241.0,1982.699
1242.0,1984.356
1243.0,1986.014
1244.0,1987.671
1245.0,1989.329
1246.0,1990.987
1247.0,1992.644
1248.0,1994.302
1249.0,1995.959
1250.0,1997.617
1251.0,1999.275
1252.0,2000.934
1253.0,2002.592
1254.0,2004.251
1255.0,2005.909
1256.0,2007.567
1257.0,2009.226
1258.0,2010.884
1259.0,2012.543
1260.0,2014.201
1261.0,2015.861
1262.0,2017.52
1263.0,2019.18
1264.0,2020.839
1265.0,2022.499
1266.0,2024.158
1267.0,2025.818
1268.0,2027.477
1269.0,2029.137
1270.0,2030.796
1271.0,2032.456
1272.0,2034.117
1273.0,2035.777
1274.0,2037.438
1275.0,2039.098
1276.0,2040.758
1277.0,2042.419
1278.0,2044.079
1279.0,2045.74
1280.0,2047.4
1281.0,2049.061
1282.0,2050.723
1283.0,2052.384
1284.0,2054.045
1285.0,2055.707
1286.0,2057.368
1287.0,2059.029
1288.0,2060.69
1289.0,2062.352
1290.0,2064.013
1291.0,2065.675
1292.0,2067.338
1293.0,2069.0
1294.0,2070.662
1295.0,2072.325
1296.0,2073.987
1297.0,2075.649
1298.0,2077.311
1299.0,2078.974
1300.0,2080.636
1301.0,2082.299
1302.0,2083.963
1303.0,2085.626
1304.0,2087.289
1305.0,2088.953
1306.0,2090.616
1307.0,2092.279
1308.0,2093.942
1309.0,2095.606
1310.0,2097.269
1311.0,2098.933
1312.0,2100.597
1313.0,2102.262
1314.0,2103.926
1315.0,2105.59
1316.0,2107.254
1317.0,2108.918
1318.0,2110.583
1319.0,2112.247
1320.0,2113.911
1321.0,2115.576
1322.0,2117.241
1323.0,2118.906
1324.0,2120.571
1325.0,2122.237
1326.0,2123.902
1327.0,2125.567
1328.0,2127.232
1329.0,2128.897
1330.0,2130.562
1331.0,2132.228
1332.0,2133.894
1333.0,2135.561
1334.0,2137.227
1335.0,2138.893
1336.0,2140.559
1337.0,2142.225
1338.0,2143.892
1339.0,2145.558
1340.0,2147.224
1341.0,2148.891
1342.0,2150.558
1343.0,2152.225
1344.0,2153.892
1345.0,2155.559
1346.0,2157.226
1347.0,2158.893
1348.0,2160.56
1349.0,2162.227
1350.0,2163.894
1351.0,2165.562
1352.0,2167.23
1353.0,2168.898
1354.0,2170.566
1355.0,2172.235
1356.0,2173.903
1357.0,2175.571
1358.0,2177.239
1359.0,2178.907
1360.0,2180.575
1361.0,2182.244
1362.0,2183.913
1363.0,2185.582
1364.0,2187.251
1365.0,2188.92
1366.0,2190.589
1367.0,2192.258
1368.0,2193.927
1369.0,2195.596
1370.0,2197.265
1371.0,2198.935
1372.0,2200.605
1373.0,2202.275
1374.0,2203.945
1375.0,2205.615
1376.0,2207.284
1377.0,2208.954
1378.0,2210.624
1379.0,2212.294
1380.0,2213.964
1381.0,2215.635
1382.0,2217.306
1383.0,2218.977
1384.0,2220.648
1385.0,2222.319
1386.0,2223.989
1387.0,2225.66
1388.0,2227.331
1389.0,2229.002
1390.0,2230.673
1391.0,2232.345
1392.0,2234.017
1393.0,2235.688
1394.0,2237.36
1395.0,2239.032
1396.0,2240.704
1397.0,2242.376
1398.0,2244.047
1399.0,2245.719
1400.0,2247.391
1401.0,2249.064
1402.0,2250.737
1403.0,2252.409
1404.0,2254.082
1405.0,2255.755
1406.0,2257.428
1407.0,2259.101
1408.0,2260.773
1409.0,2262.446
1410.0,2264.119
1411.0,2265.793
1412.0,2267.467
1413.0,2269.14
1414.0,2270.814
1415.0,2272.488
1416.0,2274.162
1417.0,2275.836
1418.0,2277.509
1419.0,2279.183
1420.0,2280.857
1421.0,2282.532
1422.0,2284.206
