date,apparent_temperature,pressure_msl,wind_speed_10m,sea_surface_temperature
2026-06-08 11:00:00-01:00,24.829447,1021.0,4,24.7
2026-06-08 12:00:00-01:00,25.277323,1020.3,4,24.7
2026-06-08 13:00:00-01:00,25.582758,1019.6,4,24.7
2026-06-08 14:00:00-01:00,25.475779,1019.2,4,24.75
2026-06-08 15:00:00-01:00,24.748878,1018.8,4,24.75
2026-06-08 16:00:00-01:00,24.592216,1018.9,4,24.75
2026-06-08 17:00:00-01:00,24.450829,1019.4,4,24.75
2026-06-08 18:00:00-01:00,24.205784,1019.6,4,24.75
2026-06-08 19:00:00-01:00,24.038351,1020.0,4,24.7
2026-06-08 20:00:00-01:00,23.820719,1020.2,4,24.7
2026-06-08 21:00:00-01:00,23.74794,1020.3,4,24.7
2026-06-08 22:00:00-01:00,23.92212,1020.5,4,24.65
2026-06-08 23:00:00-01:00,24.31372,1020.3,4,24.65
2026-06-09 00:00:00-01:00,23.239832,1021.5,3,23.25
2026-06-09 01:00:00-01:00,23.320755,1021.5,2,23.25
2026-06-09 02:00:00-01:00,23.36107,1021.2,2,23.25
2026-06-09 03:00:00-01:00,23.407457,1020.8,2,23.25
2026-06-09 04:00:00-01:00,23.323956,1020.6,2,23.25
2026-06-09 05:00:00-01:00,23.083122,1020.8,2,23.25
2026-06-09 06:00:00-01:00,22.949219,1021.0,2,23.25
2026-06-09 07:00:00-01:00,23.205587,1021.1,2,23.3
2026-06-09 08:00:00-01:00,23.323238,1021.5,2,23.3
2026-06-09 09:00:00-01:00,22.991756,1021.7,2,23.35
2026-06-09 10:00:00-01:00,22.64231,1021.6,3,23.4
2026-06-09 11:00:00-01:00,24.008842,1021.5,2,23.4
2026-06-09 12:00:00-01:00,24.081892,1020.6,3,23.4
2026-06-09 13:00:00-01:00,23.769375,1019.9,3,23.45
2026-06-09 14:00:00-01:00,23.530529,1019.8,3,23.45
2026-06-09 15:00:00-01:00,23.58636,1019.6,3,23.45
2026-06-09 16:00:00-01:00,23.630632,1019.7,2,23.45
2026-06-09 17:00:00-01:00,23.539438,1019.7,2,23.45
2026-06-09 18:00:00-01:00,24.032166,1020.4,2,23.45
2026-06-09 19:00:00-01:00,24.077383,1020.7,2,23.4
2026-06-09 20:00:00-01:00,24.123367,1020.8,1,23.4
2026-06-09 21:00:00-01:00,24.384014,1021.3,1,23.35
2026-06-09 22:00:00-01:00,24.056648,1020.9,1,23.35
2026-06-09 23:00:00-01:00,24.587626,1020.7,1,23.3
2026-06-09 23:00:00-01:00,24.587626,1020.7,1,22.35
2026-06-10 00:00:00+00:00,21.46743,1020.2,3,23.3
2026-06-10 00:00:00+00:00,21.46743,1020.2,3,22.35
2026-06-10 01:00:00+00:00,21.352657,1019.9,3,22.35
